entity_type	entity_text	ground_truth_answer	content_with_all_columns
City	coshocton	1	"During the French and Indian War, Killbuck had assisted the English against their French enemy. In 1761, Killbuck led an English supply train from Fort Pitt to Fort Sandusky. When The American Revolution began, Killbuck found his people caught between the English in the West and the Americans in the East. At the war's beginning, Killbuck and many Lenape claimed to be neutral. In 1778, Killbuck permitted American soldiers to traverse Delaware territory so that the soldiers could attack Fort Detroit. In return, Killbuck requested that the Americans build a fort near the Natives' major village of Coshocton to provide the Delaware with protection from English attacks. The Americans agreed and built Fort Laurens, which they garrisoned."
City	french and indian war	0	"During the French and Indian War, Killbuck had assisted the English against their French enemy. In 1761, Killbuck led an English supply train from Fort Pitt to Fort Sandusky. When The American Revolution began, Killbuck found his people caught between the English in the West and the Americans in the East. At the war's beginning, Killbuck and many Lenape claimed to be neutral. In 1778, Killbuck permitted American soldiers to traverse Delaware territory so that the soldiers could attack Fort Detroit. In return, Killbuck requested that the Americans build a fort near the Natives' major village of Coshocton to provide the Delaware with protection from English attacks. The Americans agreed and built Fort Laurens, which they garrisoned."
Company	london transit commission	1	"The London Transit Commission (LTC) is responsible for the operation of the public transit system on behalf of the City of London, Ontario, Canada. It offers the typical conventional bus service, and a para-transit service, for those unable to use the conventional service. In 2014, annual ridership totaled 24.1 million. The LTC has 27 regular bus routes, five express routes, three school-year-only routes and six community bus routes."
Company	"london, ontario"	0	"The London Transit Commission (LTC) is responsible for the operation of the public transit system on behalf of the City of London, Ontario, Canada. It offers the typical conventional bus service, and a para-transit service, for those unable to use the conventional service. In 2014, annual ridership totaled 24.1 million. The LTC has 27 regular bus routes, five express routes, three school-year-only routes and six community bus routes."
Eukaryote	pterostylis spissa	1	"Pterostylis spissa, is a terrestrial, perennial, deciduous, herb with an underground tuber. It has a rosette of between five and nine leaves long and wide, lying flat on the ground. Between two and twelve yellowish-green flowers with darker green stripes are crowded together on a flowering stem up to high with between four and six stem leaves with their bases wrapped around it. The flowers are long with the dorsal sepal and petals joined to form a hood called the galea over the column. The dorsal sepal is gently curved but suddenly curves downward near the tip and is about the same length as the petals. The lateral sepals turn downwards, long, wide and fused together forming a cup with tips about long and parallel to each other. The labellum is about long and wide, and pale green with a dark green, beak-like appendage. Flowering occurs in October and November."
Eukaryote	perennial	0	"Pterostylis spissa, is a terrestrial, perennial, deciduous, herb with an underground tuber. It has a rosette of between five and nine leaves long and wide, lying flat on the ground. Between two and twelve yellowish-green flowers with darker green stripes are crowded together on a flowering stem up to high with between four and six stem leaves with their bases wrapped around it. The flowers are long with the dorsal sepal and petals joined to form a hood called the galea over the column. The dorsal sepal is gently curved but suddenly curves downward near the tip and is about the same length as the petals. The lateral sepals turn downwards, long, wide and fused together forming a cup with tips about long and parallel to each other. The labellum is about long and wide, and pale green with a dark green, beak-like appendage. Flowering occurs in October and November."
Written_work	gregory of tours	1	"Sophia also influenced the financial policies of Justin. Having inherited an exhausted treasury, they set about repaying the various debts and loans of Justinian to bankers and money-lenders. According to Theophanes, Sophia was in charge of financial records and payments, and restored the credibility of the royal treasury. The imperial couple tried to reduce expenses and increase treasury reserves. Evagrius, John of Ephesus, Gregory of Tours, and Paul the Deacon all mention this while accusing both Justin and Sophia of greed. She did research their debts and repaid them, which gained her contemporary praise."
Written_work	sophia	0	"Sophia also influenced the financial policies of Justin. Having inherited an exhausted treasury, they set about repaying the various debts and loans of Justinian to bankers and money-lenders. According to Theophanes, Sophia was in charge of financial records and payments, and restored the credibility of the royal treasury. The imperial couple tried to reduce expenses and increase treasury reserves. Evagrius, John of Ephesus, Gregory of Tours, and Paul the Deacon all mention this while accusing both Justin and Sophia of greed. She did research their debts and repaid them, which gained her contemporary praise."
Sports_event	preakness stakes	1	"The 43rd running of the Preakness Stakes was run at a mile and one eighth on dirt at Pimlico Race Course on an unusual day of the week, Wednesday, May 15, 1918. The race was divided into two divisions, with Jack Hare Jr. running in the second. The first division was won by War Cloud. When the horses started, Jack Hare Jr., the 9/10 favorite, rushed straight to lead drew away by two lengths passing the stands for the first time. Rounding the club house turn he widened his lead to two and a half finishing the first half mile in :47-3/5. He continued to set a fast pace on the front end setting fractions of 1:12-3/5 and 1:39-3/5 for 3/4 and a mile. Leading comfortably by three lengths at the head of the stretch his jockey Charles Peak eased him up near the end of the race and still won by more than two lengths. The order of finish remained almost unchanged throughout the race with The Porter finishing second six lengths ahead of Kate Brite and Trompe La Mort for third and fourth. The race appears to have been run as a handicap race, with Jack Hare Jr. carrying eight pounds more than the runner-up. The winning time of 1:53.4 was 0.2 seconds faster than the first division."
Sports_event	war cloud	0	"The 43rd running of the Preakness Stakes was run at a mile and one eighth on dirt at Pimlico Race Course on an unusual day of the week, Wednesday, May 15, 1918. The race was divided into two divisions, with Jack Hare Jr. running in the second. The first division was won by War Cloud. When the horses started, Jack Hare Jr., the 9/10 favorite, rushed straight to lead drew away by two lengths passing the stands for the first time. Rounding the club house turn he widened his lead to two and a half finishing the first half mile in :47-3/5. He continued to set a fast pace on the front end setting fractions of 1:12-3/5 and 1:39-3/5 for 3/4 and a mile. Leading comfortably by three lengths at the head of the stretch his jockey Charles Peak eased him up near the end of the race and still won by more than two lengths. The order of finish remained almost unchanged throughout the race with The Porter finishing second six lengths ahead of Kate Brite and Trompe La Mort for third and fourth. The race appears to have been run as a handicap race, with Jack Hare Jr. carrying eight pounds more than the runner-up. The winning time of 1:53.4 was 0.2 seconds faster than the first division."
